image_id,source_id,template_family,label,edit_type,filename,relative_path,split
tpl1_src002_none_01,tpl1_src002_none_01,1,original,none,tpl1_src002_none_01.png,raw/tpl1_src002_none_01.png,train
tpl1_src002_amount_change_01,tpl1_src002_none_01,1,synthetic_fake,amount_change,tpl1_src002_amount_change_01.png,processed/tpl1_src002_amount_change_01.png,train
tpl1_src002_text_insert_02,tpl1_src002_none_01,1,synthetic_fake,text_insert,tpl1_src002_text_insert_02.png,processed/tpl1_src002_text_insert_02.png,train
tpl1_src002_font_alter_03,tpl1_src002_none_01,1,synthetic_fake,font_alter,tpl1_src002_font_alter_03.png,processed/tpl1_src002_font_alter_03.png,train
tpl1_src002_crop_04,tpl1_src002_none_01,1,synthetic_fake,crop,tpl1_src002_crop_04.png,processed/tpl1_src002_crop_04.png,train
tpl1_src005_none_01,tpl1_src005_none_01,1,original,none,tpl1_src005_none_01.png,raw/tpl1_src005_none_01.png,train
tpl1_src005_text_insert_01,tpl1_src005_none_01,1,synthetic_fake,text_insert,tpl1_src005_text_insert_01.png,processed/tpl1_src005_text_insert_01.png,train
tpl1_src005_text_remove_02,tpl1_src005_none_01,1,synthetic_fake,text_remove,tpl1_src005_text_remove_02.png,processed/tpl1_src005_text_remove_02.png,train
tpl1_src005_amount_change_03,tpl1_src005_none_01,1,synthetic_fake,amount_change,tpl1_src005_amount_change_03.png,processed/tpl1_src005_amount_change_03.png,train
tpl1_src005_date_change_04,tpl1_src005_none_01,1,synthetic_fake,date_change,tpl1_src005_date_change_04.png,processed/tpl1_src005_date_change_04.png,train
tpl1_src006_none_01,tpl1_src006_none_01,1,original,none,tpl1_src006_none_01.png,raw/tpl1_src006_none_01.png,train
tpl1_src006_transaction_id_change_01,tpl1_src006_none_01,1,synthetic_fake,transaction_id_change,tpl1_src006_transaction_id_change_01.png,processed/tpl1_src006_transaction_id_change_01.png,train
tpl1_src006_font_alter_02,tpl1_src006_none_01,1,synthetic_fake,font_alter,tpl1_src006_font_alter_02.png,processed/tpl1_src006_font_alter_02.png,train
tpl1_src006_recompress_03,tpl1_src006_none_01,1,original_transformed,recompress,tpl1_src006_recompress_03.png,processed/tpl1_src006_recompress_03.png,train
tpl1_src006_date_change_04,tpl1_src006_none_01,1,synthetic_fake,date_change,tpl1_src006_date_change_04.png,processed/tpl1_src006_date_change_04.png,train
tpl1_src007_none_01,tpl1_src007_none_01,1,original,none,tpl1_src007_none_01.png,raw/tpl1_src007_none_01.png,train
tpl1_src007_text_insert_01,tpl1_src007_none_01,1,synthetic_fake,text_insert,tpl1_src007_text_insert_01.png,processed/tpl1_src007_text_insert_01.png,train
tpl1_src007_amount_change_02,tpl1_src007_none_01,1,synthetic_fake,amount_change,tpl1_src007_amount_change_02.png,processed/tpl1_src007_amount_change_02.png,train
tpl1_src007_crop_03,tpl1_src007_none_01,1,synthetic_fake,crop,tpl1_src007_crop_03.png,processed/tpl1_src007_crop_03.png,train
tpl1_src007_transaction_id_change_04,tpl1_src007_none_01,1,synthetic_fake,transaction_id_change,tpl1_src007_transaction_id_change_04.png,processed/tpl1_src007_transaction_id_change_04.png,train
tpl1_src010_none_01,tpl1_src010_none_01,1,original,none,tpl1_src010_none_01.png,raw/tpl1_src010_none_01.png,train
tpl1_src010_transaction_id_change_01,tpl1_src010_none_01,1,synthetic_fake,transaction_id_change,tpl1_src010_transaction_id_change_01.png,processed/tpl1_src010_transaction_id_change_01.png,train
tpl1_src010_resize_02,tpl1_src010_none_01,1,original_transformed,resize,tpl1_src010_resize_02.png,processed/tpl1_src010_resize_02.png,train
tpl1_src010_amount_change_03,tpl1_src010_none_01,1,synthetic_fake,amount_change,tpl1_src010_amount_change_03.png,processed/tpl1_src010_amount_change_03.png,train
tpl1_src010_font_alter_04,tpl1_src010_none_01,1,synthetic_fake,font_alter,tpl1_src010_font_alter_04.png,processed/tpl1_src010_font_alter_04.png,train
tpl1_src011_none_01,tpl1_src011_none_01,1,original,none,tpl1_src011_none_01.png,raw/tpl1_src011_none_01.png,train
tpl1_src011_recompress_01,tpl1_src011_none_01,1,original_transformed,recompress,tpl1_src011_recompress_01.png,processed/tpl1_src011_recompress_01.png,train
tpl1_src011_amount_change_02,tpl1_src011_none_01,1,synthetic_fake,amount_change,tpl1_src011_amount_change_02.png,processed/tpl1_src011_amount_change_02.png,train
tpl1_src011_text_remove_03,tpl1_src011_none_01,1,synthetic_fake,text_remove,tpl1_src011_text_remove_03.png,processed/tpl1_src011_text_remove_03.png,train
tpl1_src011_transaction_id_change_04,tpl1_src011_none_01,1,synthetic_fake,transaction_id_change,tpl1_src011_transaction_id_change_04.png,processed/tpl1_src011_transaction_id_change_04.png,train
tpl1_src012_none_01,tpl1_src012_none_01,1,original,none,tpl1_src012_none_01.png,raw/tpl1_src012_none_01.png,train
tpl1_src012_recompress_01,tpl1_src012_none_01,1,original_transformed,recompress,tpl1_src012_recompress_01.png,processed/tpl1_src012_recompress_01.png,train
tpl1_src012_transaction_id_change_02,tpl1_src012_none_01,1,synthetic_fake,transaction_id_change,tpl1_src012_transaction_id_change_02.png,processed/tpl1_src012_transaction_id_change_02.png,train
tpl1_src012_date_change_03,tpl1_src012_none_01,1,synthetic_fake,date_change,tpl1_src012_date_change_03.png,processed/tpl1_src012_date_change_03.png,train
tpl1_src012_font_alter_04,tpl1_src012_none_01,1,synthetic_fake,font_alter,tpl1_src012_font_alter_04.png,processed/tpl1_src012_font_alter_04.png,train
tpl1_src013_none_01,tpl1_src013_none_01,1,original,none,tpl1_src013_none_01.png,raw/tpl1_src013_none_01.png,train
tpl1_src013_date_change_01,tpl1_src013_none_01,1,synthetic_fake,date_change,tpl1_src013_date_change_01.png,processed/tpl1_src013_date_change_01.png,train
tpl1_src013_text_insert_02,tpl1_src013_none_01,1,synthetic_fake,text_insert,tpl1_src013_text_insert_02.png,processed/tpl1_src013_text_insert_02.png,train
tpl1_src013_recompress_03,tpl1_src013_none_01,1,original_transformed,recompress,tpl1_src013_recompress_03.png,processed/tpl1_src013_recompress_03.png,train
tpl1_src013_amount_change_04,tpl1_src013_none_01,1,synthetic_fake,amount_change,tpl1_src013_amount_change_04.png,processed/tpl1_src013_amount_change_04.png,train
tpl1_src014_none_01,tpl1_src014_none_01,1,original,none,tpl1_src014_none_01.png,raw/tpl1_src014_none_01.png,train
tpl1_src014_text_insert_01,tpl1_src014_none_01,1,synthetic_fake,text_insert,tpl1_src014_text_insert_01.png,processed/tpl1_src014_text_insert_01.png,train
tpl1_src014_amount_change_02,tpl1_src014_none_01,1,synthetic_fake,amount_change,tpl1_src014_amount_change_02.png,processed/tpl1_src014_amount_change_02.png,train
tpl1_src014_resize_03,tpl1_src014_none_01,1,original_transformed,resize,tpl1_src014_resize_03.png,processed/tpl1_src014_resize_03.png,train
